Assembly District,Representative,Senate District,Senator,School Name,Sector,Grade Band,Enrollment,RC Overall Score,RC Overall Rating,ELA Proficiency,Math Proficiency
7,Daniel Riemer,3,Tim Carpenter,Audubon Technology and Communication High,Traditional Public,'9-12,385,55.5,Meets Few Expectations,7%,4%
7,Daniel Riemer,3,Tim Carpenter,Audubon Technology and Communication Middle,Traditional Public,'6-8,442,45.1,Fails to Meet Expectations,6%,4%
7,Daniel Riemer,3,Tim Carpenter,Blessed Sacrament Grade School,Private,'K-8,159,60.9,Meets Expectations,14%,13%
7,Daniel Riemer,3,Tim Carpenter,Burbank Elementary,Traditional Public,'K-8,511,55.2,Meets Few Expectations,11%,8%
7,Daniel Riemer,3,Tim Carpenter,Cooper Elementary,Traditional Public,'K-8,459,75.8,Exceeds Expectations,43%,35%
7,Daniel Riemer,3,Tim Carpenter,Fairview Elementary,Traditional Public,'K-8,602,77.6,Exceeds Expectations,30%,20%
7,Daniel Riemer,3,Tim Carpenter,MacDowell Montessori School K3-12,Traditional Public,'K-12,866,62.1,Meets Expectations,18%,12%
7,Daniel Riemer,3,Tim Carpenter,Milwaukee Spanish Immersion,Traditional Public,'K-5,717,54.1,Meets Few Expectations,16%,19%
7,Daniel Riemer,3,Tim Carpenter,Pius XI Catholic High,Private,'9-12,471,66.7,Meets Expectations,38%,20%
7,Daniel Riemer,3,Tim Carpenter,Reagan College Preparatory High,Traditional Public,'9-12,1344,81.9,Exceeds Expectations,61%,39%
7,Daniel Riemer,3,Tim Carpenter,Saint Gregory the Great Parish School,Private,'K-8,155,88.2,Significantly Exceeds Expectations,49%,33%
7,Daniel Riemer,3,Tim Carpenter,Saint Vincent Pallotti School,Private,'K-8,149,NA,NR-DATA,30%,13%
7,Daniel Riemer,3,Tim Carpenter,Salam School,Private,'K-12,813,82.5,Exceeds Expectations,37%,26%
7,Daniel Riemer,3,Tim Carpenter,Victory Christian Academy,Private,'6-12,143,58,Meets Expectations,17%,7%
7,Daniel Riemer,3,Tim Carpenter,Wisconsin Lutheran High,Private,'9-12,522,68.7,Meets Expectations,40%,37%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Academy of Excellence,Private,'K-12,1271,53.6,Meets Few Expectations,2%,1%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Allen-Field Elementary,Traditional Public,'K-5,486,57.1,Meets Few Expectations,3%,2%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Bradley Technology High,Traditional Public,'9-12,1035,46.9,Fails to Meet Expectations,4%,1%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Bruce Guadalupe,2r/2x Charter,'K-8,1421,74.6,Exceeds Expectations,26%,28%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Christ-St Peter Lutheran School,Private,'K-8,208,67.9,Meets Expectations,20%,15%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Forest Home Elementary,Traditional Public,'K-5,597,63.3,Meets Expectations,11%,13%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Grandview High,Partnership,'9-12,220,13.5,Fails to Meet Expectations,NA,NA
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Hayes Bilingual School,Traditional Public,'K-8,647,68.4,Meets Expectations,11%,8%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Kagel Elementary,Traditional Public,'K-5,211,71.2,Exceeds Expectations,5%,1%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,La Causa Charter School,Non-Instrumentality Charter,'K-8,668,51.2,Meets Few Expectations,3%,3%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Lincoln Avenue Elementary,Traditional Public,'K-5,435,57.1,Meets Few Expectations,5%,5%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Longfellow Elementary,Traditional Public,'K-8,739,67.2,Meets Expectations,11%,5%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Mitchell Elementary,Traditional Public,'K-8,586,63.7,Meets Expectations,5%,6%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Notre Dame School of Milwaukee,Private,'K-8,439,74.3,Exceeds Expectations,24%,40%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Riley Dual Language Montessori School,Traditional Public,'K-5,311,58.4,Meets Expectations,9%,5%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Rogers Street Academy,Traditional Public,'K-8,580,60.2,Meets Expectations,8%,9%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Saint Adalbert Catholic School,Private,'K-8,389,81,Exceeds Expectations,17%,14%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Saint Anthony School,Private,'K-12,1428,54.6,Meets Few Expectations,12%,11%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Saint Augustine Preparatory Academy Inc,Private,'K-12,1460,87,Significantly Exceeds Expectations,30%,24%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Saint John Paul II School,Private,'K-8,159,72.5,Exceeds Expectations,17%,8%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Saint Josaphat Parish School,Private,'K-8,180,56.3,Meets Few Expectations,21%,15%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Saint Martini Lutheran Grade School,Private,'K-8,162,75.9,Exceeds Expectations,14%,13%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,South Accelerated Academy,Traditional Public,'9-12,23,NA,Alternate Rating - Satisfactory Progress,NA,NA
8,Sylvia Ortiz-Velez,3,Tim Carpenter,South Division High,Traditional Public,'9-12,840,42.1,Fails to Meet Expectations,1%,1%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Stellar Collegiate Charter School,2r/2x Charter,'K-5,260,59.6,Meets Expectations,9%,24%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,United Community Center Acosta Middle School,2r/2x Charter,'6-8,209,71.6,Exceeds Expectations,20%,24%
8,Sylvia Ortiz-Velez,3,Tim Carpenter,Vieau Elementary,Traditional Public,'K-8,653,59.2,Meets Expectations,18%,14%
9,Marisabel Cabrera,3,Tim Carpenter,ALBA - Academia de Lenguaje y Bellas Artes,Instrumentality Charter,'K-8,568,73.8,Exceeds Expectations,22%,16%
9,Marisabel Cabrera,3,Tim Carpenter,Carmen High School of Science and Technology South Campus,Non-Instrumentality Charter,'9-12,378,82.7,Exceeds Expectations,21%,14%
9,Marisabel Cabrera,3,Tim Carpenter,Carmen High School of Science and Technology Southeast Campus,Non-Instrumentality Charter,'9-12,785,45.9,Fails to Meet Expectations,8%,4%
9,Marisabel Cabrera,3,Tim Carpenter,Carmen Middle School South,Non-Instrumentality Charter,'NA,NA,NA,Alternate Rating - Satisfactory Progress,17%,8%
9,Marisabel Cabrera,3,Tim Carpenter,Cristo Rey Jesuit Milwaukee High,Private,'9-12,296,71.5,Exceeds Expectations,22%,21%
9,Marisabel Cabrera,3,Tim Carpenter,Curtin Elementary,Traditional Public,'K-8,310,70.1,Exceeds Expectations,15%,7%
9,Marisabel Cabrera,3,Tim Carpenter,Doerfler Elementary,Traditional Public,'K-8,509,64.1,Meets Expectations,7%,6%
9,Marisabel Cabrera,3,Tim Carpenter,Escuela Verde,2r/2x Charter,'9-12,120,46.6,Fails to Meet Expectations,4%,1%
9,Marisabel Cabrera,3,Tim Carpenter,Grant Elementary,Traditional Public,'K-8,532,52.3,Meets Few Expectations,13%,9%
9,Marisabel Cabrera,3,Tim Carpenter,Greenfield Bilingual,Traditional Public,'K-8,540,59.6,Meets Expectations,16%,10%
9,Marisabel Cabrera,3,Tim Carpenter,Lad Lake Synergy School,Partnership,'6-12,24,NA,Alternate Rating - Needs Improvement,NA,NA
