school_year,dpi_true_id,student_count,accurate_agency_type,broad_agency_type,zip,physical_address,lat,long,geo_method
2020-21,3619_0162,539,Instrumentality Charter,District Operated,53215,1712 S 32nd St Milwaukee WI 53215-2104,43.012188,-87.954,census
2020-21,3619_0413,188,Instrumentality Charter,District Operated,53205,850 W Walnut St Milwaukee WI 53205,43.052578,-87.92191,census
2020-21,3619_1063,92,Partnership,Independently Operated,53209,3517 W Courtland Ave Milwaukee WI 53209-5919,43.10230615,-87.95738801,osm
2020-21,3619_0432,60,Partnership,Independently Operated,53209,3517 W Courtland Ave Milwaukee WI 53209-5919,43.10230615,-87.95738801,osm
2020-21,3619_0410,217,Partnership,Independently Operated,53215,2745 S 13TH St Milwaukee WI 53215,42.994843,-87.92865,census
2020-21,3619_0454,212,Instrumentality Charter,District Operated,53223,6850 N 53rd St Milwaukee WI 53223-5239,43.141953,-87.97807,census
2020-21,3619_0334,413,Instrumentality Charter,District Operated,53220,6701 W Eden Pl Milwaukee WI 53220-1335,42.980095,-87.99685,census
2020-21,3619_0165,283,Instrumentality Charter,District Operated,53221,1420 W Goldcrest Ave Milwaukee WI 53221,42.939346,-87.93127,census
2020-21,3619_0296,39,Partnership,Independently Operated,53215,2820 W Grant St Milwaukee WI 53215,43.0051168,-87.95019056,osm
2020-21,3619_1072,92,Partnership,Independently Operated,53206,2320 W Burleigh St Milwaukee WI 53206-1751,43.075146,-87.941414,census
2020-21,3619_1074,75,Partnership,Independently Operated,53205,1749 N 16th St Milwaukee WI 53205-1624,43.053226,-87.93279,census
2020-21,3619_1086,17,Partnership,Independently Operated,53212,4200 N Holton St Milwaukee WI 53212,43.09168,-87.90475,census
2020-21,3619_0398,217,Instrumentality Charter,District Operated,53207,4382 S 3rd St Milwaukee WI 53207-4968,42.96541,-87.9145,census
2020-21,8123_0100,1363,2r/2x Charter,Independently Operated,53204,1028 S 9th St Milwaukee WI 53204-1335,43.0208,-87.92253,census
2020-21,8105_1211,474,2r/2x Charter,Independently Operated,53216,4301 N 44th St Milwaukee WI 53216,43.09544,-87.96853,census
2020-21,8109_0100,256,2r/2x Charter,Independently Operated,53224,7151 N. 86th St. Milwaukee WI 53224,43.147846,-88.01791,census
2020-21,8101_1056,313,2r/2x Charter,Independently Operated,53207,2507 S Graham St Milwaukee WI 53207-1687,42.99855,-87.903625,census
2020-21,8127_0400,300,2r/2x Charter,Independently Operated,53216,4030 N 29th St Milwaukee WI 53216,43.090107,-87.94946,census
2020-21,8131_0400,118,2r/2x Charter,Independently Operated,53215,3628 W Pierce St Milwaukee WI 53215,43.02362,-87.95927,census
2020-21,3619_0316,703,Traditional Public,District Operated,53220,3727 S 78th St Milwaukee WI 53220-1603,42.97674,-88.01039,census
2020-21,3619_0075,310,Traditional Public,District Operated,53228,3563 S 97th St Milwaukee WI 53228-1416,42.9801,-88.033806,census
2020-21,3619_0073,564,Traditional Public,District Operated,53204,730 W Lapham Blvd Milwaukee WI 53204-3428,43.01415,-87.920296,census
2020-21,3619_0215,243,Traditional Public,District Operated,53206,3620 N 18th St Milwaukee WI 53206-2362,43.082836,-87.933395,census
2020-21,3619_0434,374,Traditional Public,District Operated,53215,3300 S 39th St Milwaukee WI 53215-4019,42.98468,-87.96305,census
2020-21,3619_0041,517,Traditional Public,District Operated,53215,3300 S 39th St Milwaukee WI 53215-4019,42.98468,-87.96305,census
2020-21,3619_0077,183,Traditional Public,District Operated,53206,2319 W Auer Ave Milwaukee WI 53206-1735,43.076916,-87.94138,census
2020-21,3619_0188,315,Traditional Public,District Operated,53209,4456 N Teutonia Ave Milwaukee WI 53209-6225,43.09801445,-87.94242726,osm
2020-21,3619_0081,255,Traditional Public,District Operated,53223,5700 W Green Tree Rd Milwaukee WI 53223-5220,43.141266,-87.983154,census
2020-21,3619_0012,913,Traditional Public,District Operated,53207,2751 S Lenox St Milwaukee WI 53207-2209,42.994686,-87.898056,census
2020-21,3619_0112,367,Traditional Public,District Operated,53207,357 E Howard Ave Milwaukee WI 53207-3923,42.9734647,-87.90629074,osm
2020-21,3619_0356,602,Traditional Public,District Operated,53208,1535 N 35th St Milwaukee WI 53208-2315,43.05064,-87.957634,census
2020-21,3619_0014,1031,Traditional Public,District Operated,53204,700 S Fourth St Milwaukee WI 53204-1760,43.024124,-87.915436,census
2020-21,3619_0089,309,Traditional Public,District Operated,53205,2029 N 20th St Milwaukee WI 53205-1140,43.056843,-87.93766,census
2020-21,3619_0092,321,Traditional Public,District Operated,53218,5440 N 64th St Milwaukee WI 53218-3020,43.117386,-87.99104,census
2020-21,3619_0093,252,Traditional Public,District Operated,53224,6453 N 89th St Milwaukee WI 53224-5307,43.135525,-88.02296,census
2020-21,3619_0094,206,Traditional Public,District Operated,53225,8718 W Thurston Ave Milwaukee WI 53225-2829,43.120525,-88.02126,census
2020-21,3619_0095,602,Traditional Public,District Operated,53214,6035 W Adler St Milwaukee WI 53214-1835,43.0272022,-87.98839027,osm
2020-21,3619_0098,619,Traditional Public,District Operated,53207,4348 S Griffin Ave Milwaukee WI 53207-5026,42.9654,-87.90472,census
2020-21,3619_0407,368,Non-Instrumentality Charter,Independently Operated,53215,1712 S 32nd St Milwaukee WI 53215-2104,43.012188,-87.954,census
2020-21,3619_0451,726,Non-Instrumentality Charter,Independently Operated,53215,2500 W Oklahoma Ave Milwaukee WI 53215-4437,42.9897536,-87.94522669,osm
2020-21,3619_0213,148,Non-Instrumentality Charter,Independently Operated,53215,1236 S Layton Blvd Milwaukee WI 53215-1653,43.018593,-87.947716,census
2020-21,3619_0444,670,Non-Instrumentality Charter,Independently Operated,53218,5496 N 72nd St Milwaukee WI 53218-2820,43.1169,-88.00115,census
2020-21,3619_0108,458,Traditional Public,District Operated,53216,4920 W Capitol Dr Milwaukee WI 53216-2321,43.08995,-87.975006,census
2020-21,3619_0178,486,Traditional Public,District Operated,53212,1900 N 1st St Milwaukee WI 53212-3705,43.055256,-87.91124,census
2020-21,3619_0104,366,Traditional Public,District Operated,53202,1647 N Cass St Milwaukee WI 53202-2026,43.052197,-87.90215,census
