title,district,name,official_phone,official_email
Alderman,1,Vacant,,
Alderman,2,"Mark Chambers, Jr.",414-286-2221,aide2@milwaukee.gov
Alderman,3,Jonathan Brostoff,414-286-2221,Jonathan.Brostoff@milwaukee.gov
Alderman,4,Robert Bauman,414-286-2221,rjbauma@milwaukee.gov
Alderman,5,Vacant,,
Alderman,6,Milele A. Coggs,414-286-2221,mcoggs@milwaukee.gov
Alderman,7,Khalif J. Rainey,414-286-2221,Khalif.Rainey@milwaukee.gov
Alderman,8,JoCasta Zamarripa,414-286-3533,JoCasta.Zamarripa@milwaukee.gov
Alderman,9,Vacant,,
Alderman,10,Michael J. Murphy,414-286-3763,mmurph@milwaukee.gov
Alderman,11,Mark A. Borkowski,414-286-3768,mark.borkowski@milwaukee.gov
Alderman,12,Jose G. Perez,414-286-2861,JoseG.Perez@milwaukee.gov
Alderman,13,Scott Spiker,414-286-8537,scott.spiker@milwaukee.gov
Alderman,14,Marina Dimitrijevic,414-286-3769,Marina@milwaukee.gov
Alderman,15,"Russell W. Stamper, II",414-286-2221,russell.stamper@milwaukee.gov
