assembly_district,dpi_true_id,school_name,accurate_agency_type,grade_band,school_enrollment,rc_overall_score,rc_overall_rating,ela_proficiency,math_proficiency
84,3619_0316,Academy of Accelerated Learning,Traditional Public,'K-5,581,NA,Alternate Rating - Needs Improvement,33%,27%
8,0000_1652,Academy of Excellence,Private,'K-12,1271,53.6,Meets Few Expectations,2%,1%
9,3619_0162,ALBA - Academia de Lenguaje y Bellas Artes,Instrumentality Charter,'K-8,568,73.8,Exceeds Expectations,22%,16%
84,3619_0075,Alcott Elementary,Traditional Public,'K-8,248,68.1,Meets Expectations,23%,6%
8,3619_0073,Allen-Field Elementary,Traditional Public,'K-5,486,57.1,Meets Few Expectations,3%,2%
16,3619_0413,Alliance School of Milwaukee,Instrumentality Charter,'9-12,148,NA,Alternate Rating - Needs Improvement,5%,2%
10,3619_0215,Andrew S Douglas Middle,Traditional Public,'6-8,219,37.3,Fails to Meet Expectations,2%,1%
17,3619_1063,ASSATA High,Partnership,'9-12,95,NA,Alternate Rating - Needs Improvement,NA,NA
20,0000_1263,Atlas Preparatory Academy,Private,'K-12,494,NA,NR-DATA,4%,1%
17,0000_1301,Atonement Lutheran School,Private,'K-8,432,69.6,Meets Expectations,14%,7%
7,3619_0434,Audubon Technology and Communication High,Traditional Public,'9-12,385,55.5,Meets Few Expectations,7%,4%
7,3619_0041,Audubon Technology and Communication Middle,Traditional Public,'6-8,442,45.1,Fails to Meet Expectations,6%,4%
16,3619_0077,Auer Avenue Elementary,Traditional Public,'K-5,168,16.6,Fails to Meet Expectations,3%,2%
17,3619_0432,Banner Preparatory School of Milwaukee,Partnership,'9-12,32,NA,Alternate Rating - Satisfactory Progress,NA,NA
10,3619_0188,Barbee Elementary,Traditional Public,'K-5,312,52.8,Meets Few Expectations,2%,1%
11,3619_0081,Barton Elementary,Traditional Public,'K-5,228,NA,Alternate Rating - Satisfactory Progress,7%,2%
20,3619_0012,Bay View High,Traditional Public,'9-12,904,38.4,Fails to Meet Expectations,5%,1%
20,3619_0112,Bay View Montessori School,Traditional Public,'K-8,435,80.9,Exceeds Expectations,53%,37%
10,0000_1303,Believers in Christ Christian Academy,Private,'K-12,167,67.7,Meets Expectations,12%,7%
18,3619_0356,Bethune Academy,Traditional Public,'K-8,604,65.7,Meets Expectations,9%,5%
