title,district,name,party_aff,official_phone,official_email
Senator,1,André Jacque (i),R,(608) 266-3512,Sen.Jacque@legis.wisconsin.gov
Senator,2,Robert Cowles,R,(608) 266-0484,Sen.Cowles@legis.wisconsin.gov
Senator,3,Tim Carpenter (i),D,(608) 266-8535,Sen.Carpenter@legis.wisconsin.gov
Senator,4,Lena Taylor,D,(608) 266-5810,Sen.Taylor@legis.wisconsin.gov
Senator,5,Rob Hutton,R,(608) 266-2512,Sen.Hutton@legis.wisconsin.gov
Senator,6,La Tonya Johnson,D,(608) 266-2500,Sen.Johnson@legis.wisconsin.gov
Senator,7,Chris Larson (i),D,(608) 266-7505,Sen.Larson@legis.wisconsin.gov
Senator,8,Alberta Darling,R,(608) 266-5830,Sen.Darling@legis.wisconsin.gov
Senator,9,Devin LeMahieu (i),R,(608) 266-2056,Sen.LeMahieu@legis.wisconsin.gov
Senator,10,Rob Stafsholt,R,(608) 266-7745,Sen.Stafsholt@legis.wisconsin.gov
Senator,11,Stephen Nass (i),R,(608) 266-2635,Sen.Nass@legis.wisconsin.gov
Senator,12,Mary Felzkowski,R,(608) 266-2509,Sen.Felzkowski@legis.wisconsin.gov
Senator,13,John Jagler (i),R,(608) 266-5660,Sen.Jagler@legis.wisconsin.gov
Senator,14,Joan Ballweg,R,(608) 266-0751,Sen.Ballweg@legis.wisconsin.gov
Senator,15,Mark Spreitzer,D,(608) 266-2253,Sen.Spreitzer@legis.wisconsin.gov
Senator,16,Melissa Agard,D,(608) 266-9170,Sen.Agard@legis.wisconsin.gov
Senator,17,Howard Marklein (i),R,(608) 266-0703,Sen.Marklein@legis.wisconsin.gov
Senator,18,Dan Feyen,R,(608) 266-5300,Sen.Feyen@legis.wisconsin.gov
Senator,19,Rachael Cabral-Guevara,R,(608) 266-0718,Sen.Cabral-Guevara@legis.wisconsin.gov
Senator,20,Duey Stroebel,R,(608) 266-7513,Sen.Stroebel@legis.wisconsin.gov
Senator,21,Van H. Wanggaard (i),R,(608) 266-1832,Sen.Wanggaard@legis.wisconsin.gov
Senator,22,Robert Wirch,D,(608) 267-8979,Sen.Wirch@legis.wisconsin.gov
Senator,23,Jesse James,R,(608) 266-7511,Sen.James@legis.wisconsin.gov
Senator,24,Patrick Testin,R,(608) 266-3123,Sen.Testin@legis.wisconsin.gov
Senator,25,Romaine Quinn,R,(608) 266-3510,Sen.Quinn@legis.wisconsin.gov
Senator,26,Kelda Roys,D,(608) 266-1627,Sen.Roys@legis.wisconsin.gov
Senator,27,Dianne Hesselbein,D,(608) 266-6670,Sen.Hesselbein@legis.wisconsin.gov
Senator,28,Julian Bradley,R,(608) 266-5400,Sen.Bradley@legis.wisconsin.gov
Senator,29,Cory Tomczyk,R,(608) 266-2502,Sen.Tomczyk@legis.wisconsin.gov
Senator,30,Eric Wimberger,R,(608) 266-5670,Sen.Wimberger@legis.wisconsin.gov
Senator,31,Jeff Smith (i),D,(608) 266-8546,Sen.Smith@legis.wisconsin.gov
Senator,32,Brad Pfaff,D,(608) 266-5490,Sen.Pfaff@legis.wisconsin.gov
Senator,33,Chris Kapenga (i),R,(608) 266-9174,Sen.Kapenga@legis.wisconsin.gov
RepresentativeA45:F133,1,Joel Kitchens (i),R,(608) 266-5350,Rep.Kitchens@legis.wisconsin.gov
Representative,2,Shae Sortwell (i),R,(608) 266-9870,Rep.Sortwell@legis.wisconsin.gov
Representative,3,Ron Tusler (i),R,(608) 266-5831,Rep.Tusler@legis.wisconsin.gov
Representative,4,David Steffen (i),R,(608) 266-5840,Rep.Steffen@legis.wisconsin.gov
Representative,5,Joy Goeben,R,(608) 266-2401,Rep.Goeben@legis.wisconsin.gov
Representative,6,Peter Schmidt,R,(608) 266-3097,Rep.Schmidt@legis.wisconsin.gov
Representative,7,Daniel Riemer (i),D,(608) 266-1733,Rep.Riemer@legis.wisconsin.gov
Representative,8,Sylvia Ortiz-Velez (i),D,(608) 267-7669,Rep.Ortiz-Velez@legis.wisconsin.gov
Representative,9,Marisabel Cabrera (i),D,(608) 266-1707,Rep.Cabrera@legis.wisconsin.gov
Representative,10,Darrin Madison,D,(608) 266-7671,Rep.Madison@legis.wisconsin.gov
Representative,11,Dora Drake (i),D,(608) 266-3756,Rep.Drake@legis.wisconsin.gov
Representative,12,LaKeshia Myers (i),D,(608) 266-5813,Rep.Myers@legis.wisconsin.gov
Representative,13,Tom Michalski,R,(608) 267-9836,Rep.Michalski@legis.wisconsin.gov
Representative,14,Robyn Vining (i),D,(608) 266-9180,Rep.Vining@legis.wisconsin.gov
Representative,15,Dave Maxey,R,(608) 266-0620,Rep.Maxey@legis.wisconsin.gov
Representative,16,Kalan Haywood (i),D,(608) 266-3786,Rep.Haywood@legis.wisconsin.gov
Representative,17,Supreme Moore Omokunde (i),D,(608) 266-5580,Rep.MooreOmokunde@legis.wisconsin.gov
Representative,18,Evan Goyke (i),D,(608) 266-0645,Rep.Goyke@legis.wisconsin.gov
Representative,19,Ryan Clancy,D,(608) 266-0650,Rep.Clancy@legis.wisconsin.gov
Representative,20,Christine Sinicki (i),D,(608) 266-8588,Rep.Sinicki@legis.wisconsin.gov
Representative,21,Jessie Rodriguez (i),R,(608) 266-0610,Rep.Rodriguez@legis.wisconsin.gov
Representative,22,Janel Brandtjen (i),R,(608) 267-2367,Rep.Brandtjen@legis.wisconsin.gov
Representative,23,Deb Andraca (i),D,(608) 266-0486,Rep.Andraca@legis.wisconsin.gov
Representative,24,Dan Knodl (i),R,(608) 266-3796,Rep.Knodl@legis.wisconsin.gov
Representative,25,Paul Tittl (i),R,(608) 266-0315,Rep.Tittl@legis.wisconsin.gov
Representative,26,Terry Katsma (i),R,(608) 266-0656,Rep.Katsma@legis.wisconsin.gov
Representative,27,Amy Binsfeld,R,(608) 266-8530,Rep.Binsfeld@legis.wisconsin.gov
Representative,28,Gae Magnafici (i),R,(608) 267-2365,Rep.Magnafici@legis.wisconsin.gov
Representative,29,Clint Moses (i),R,(608) 266-7683,Rep.Moses@legis.wisconsin.gov
Representative,30,Shannon Zimmerman (i),R,(608) 266-1526,Rep.Zimmerman@legis.wisconsin.gov
Representative,31,Ellen Schutt,R,(608) 266-9967,Rep.Schutt@legis.wisconsin.gov
Representative,32,Tyler August (i),R,(608) 266-1190,Rep.August@legis.wisconsin.gov
Representative,33,Scott Johnson,R,(608) 266-5715,Rep.Johnson@legis.wisconsin.gov
Representative,34,Rob Swearingen (i),R,(608) 266-7141,Rep.Swearingen@legis.wisconsin.gov
Representative,35,Calvin Callahan (i),R,(608) 266-7694,Rep.Callahan@legis.wisconsin.gov
Representative,36,Jeffrey Mursau (i),R,(608) 266-3780,Rep.Mursau@legis.wisconsin.gov
Representative,37,William Penterman (i),R,(608) 266-9650,Rep.Penterman@legis.wisconsin.gov
Representative,38,Barbara Dittrich (i),R,(608) 266-8551,Rep.Dittrich@legis.wisconsin.gov
Representative,39,Mark Born (i),R,(608) 266-2540,Rep.Born@legis.wisconsin.gov
Representative,40,Kevin Petersen (i),R,(608) 266-3794,Rep.Petersen@legis.wisconsin.gov
Representative,41,Alex Dallman (i),R,(608) 266-8077,Rep.Dallman@legis.wisconsin.gov
Representative,42,Jon Plumer (i),R,(608) 266-3404,Rep.Plumer@legis.wisconsin.gov
Representative,43,Jenna Jacobson,D,(608) 266-3790,Rep.Jacobson@legis.wisconsin.gov
Representative,44,Sue Conley (i),D,(608) 266-7503,Rep.Conley@legis.wisconsin.gov
Representative,45,Clinton Anderson,D,(608) 266-1192,Rep.Canderson@legis.wisconsin.gov
Representative,46,Melissa Ratcliff,D,(608) 266-7678,Rep.Ratcliff@legis.wisconsin.gov
